structure	structure_verbose	grew_pattern_sud	grew_pattern_ud
Subj. + 原来 + Predicate	"Expressing ""all along"" with ""yuanlai"""	pattern {  }	pattern {  }
原来 + [New Information]	"Expressing ""all along"" with ""yuanlai"""	pattern {  }	pattern {  }
Subj. + 一下子 + Predicate + 了	"Expressing ""all at once"" with ""yixiazi"""	pattern {  }	pattern {  }
Subj. + 一下子 + 就 + Predicate + 了	"Expressing ""all at once"" with ""yixiazi"""	pattern {  }	pattern {  }
Subj. + 差点 + Predicate	"Expressing ""almost"" using ""chadian"""	pattern {  }	pattern {  }
Subj. + 差点 (+就) + Predicate + 了	"Expressing ""almost"" using ""chadian"""	pattern {  }	pattern {  }
都 + Time + 了	"Expressing ""already"" with ""dou"""	pattern {  }	pattern {  }
Subj. + 都 + Predicate + 了	"Expressing ""already"" with ""dou"""	pattern {  }	pattern {  }
Subj. + 从来 + 都 (是) + Predicate	"Expressing ""always"" with ""conglai"""	pattern {  }	pattern {  }
Reason / Condition ，结果 + Result	"Expressing ""as a result"" with ""jieguo"""	pattern {  }	pattern {  }
Situation ，结果 + [Unexpected Result]	"Expressing ""as a result"" with ""jieguo"""	pattern {  }	pattern {  }
Subj. + (已经 +) Duration + 没 + Verb + 了	Expressing duration of inaction	pattern {  }	pattern {  }
互相 + Verb	"Expressing ""each other"" with ""huxiang"""	pattern {  }	pattern {  }
Subj. + Time + 就 + Verb	"Expressing earliness with ""jiu"""	pattern {  }	pattern {  }
Subj. + [Point in Time] + 就 + Verb + 了	"Expressing earliness with ""jiu"""	pattern {  }	pattern {  }
Subj. + Time Period + 就 + Verb + 了	"Expressing earliness with ""jiu"""	pattern {  }	pattern {  }
够 + Verb / Adj. + 了	"Expressing ""enough"" with ""gou"""	pattern {  }	pattern {  }
Subj. + 不 + 够 + Adj. / Verb	"Expressing ""enough"" with ""gou"""	pattern {  }	pattern {  }
Subj. + 终于 + Predicate + 了	"Expressing ""finally"" with ""zhongyu"""	pattern {  }	pattern {  }
Subj. + 还是 + [Verb Phrase] + 吧	"Expressing ""had better"" with ""haishi"""	pattern {  }	pattern {  }
Subj. + 最好 + Predicate	"Expressing ""had better"" with ""zuihao"""	pattern {  }	pattern {  }
Subj. + 最好 + 别 / 不要 + Predicate	"Expressing ""had better"" with ""zuihao"""	pattern {  }	pattern {  }
这样 + Verb	"Expressing ""in this way"" with ""zheyang"""	pattern {  }	pattern {  }
⋯⋯ ，这样 + 会 / 才 ⋯⋯	"Expressing ""in this way"" with ""zheyang"""	pattern {  }	pattern {  }
(如果是 +) 这样的话 ，⋯⋯	"Expressing ""in this way"" with ""zheyang"""	pattern {  }	pattern {  }
Subj. + Time + 才 + Verb	"Expressing lateness with ""cai"""	pattern {  }	pattern {  }
一 + Measure Word + 一 + Measure Word (+ Noun)	"Expressing ""one by one"" with ""yi"""	pattern {  }	pattern {  }
一 + Time Unit + 一 + Time Unit (+ Noun)	"Expressing ""one by one"" with ""yi"""	pattern {  }	pattern {  }
一 + [Measure Word] (+ 又) + 一 + [Measure Word]	"Expressing ""one by one"" with ""yi"""	pattern {  }	pattern {  }
就 + Subj. + Predicate	"Expressing ""small quantity"" with ""jiu"""	pattern {  }	pattern {  }
Subj. + 就 + [Verb Phrase]	"Expressing ""small quantity"" with ""jiu"""	pattern {  }	pattern {  }
Subj. + 就 + Number + [Measure Word] + Noun	"Expressing ""small quantity"" with ""jiu"""	pattern {  }	pattern {  }
先 ⋯⋯ ，再 ⋯⋯	"Sequencing with ""xian"" and ""zai"""	pattern {  }	pattern {  }
先 + [Verb Phrase] + 再说	"Sequencing with ""xian"" and ""zai"""	pattern {  }	pattern {  }
老 (是) + Predicate	"Using ""always"" as a complaint with ""laoshi"""	pattern {  }	pattern {  }
才 + Number + [Measure Word] + Noun	"Using ""cai"" for small numbers"	pattern {  }	pattern {  }
才 + Verb + Number + Measure Word + Noun	"Using ""cai"" for small numbers"	pattern {  }	pattern {  }
Subj. + 也都 + Predicate	"Using ""ye"" and ""dou"" together"	pattern {  }	pattern {  }
Subj. + 也都 + 不 / 没 + Predicate	"Using ""ye"" and ""dou"" together"	pattern {  }	pattern {  }
Subj. + 那么 / 这么 + Adj.	"Adjectives with ""name"" and ""zheme"""	pattern {  }	pattern {  }
挺 + Adj. + 的	"Expressing ""quite"" with ""ting"""	pattern {  }	pattern {  }
挺 + [Verb Phrase] + 的	"Expressing ""quite"" with ""ting"""	pattern {  }	pattern {  }
Noun 1, Noun 2 (+ Noun 3) + 什么的	"Ending a non-exhaustive list with ""shenme de"""	pattern {  }	pattern {  }
像 ⋯⋯ 之类的 + [Category]	"Expressing ""stuff like that"" with ""zhileide"""	pattern {  }	pattern {  }
⋯⋯ 之类的 + [Category]	"Expressing ""stuff like that"" with ""zhileide"""	pattern {  }	pattern {  }
A1，A2 ⋯⋯ 等 / 等等	"Non-exhaustive lists with ""dengdeng"""	pattern {  }	pattern {  }
A1，A2 ⋯⋯ 等 + [Category] + Predicate	"Non-exhaustive lists with ""dengdeng"""	pattern {  }	pattern {  }
⋯⋯ ，不过 ⋯⋯	"A softer ""but"" with ""buguo"""	pattern {  }	pattern {  }
要不 + Suggestion ，Reason / Situation	"Expressing ""how about"" with ""yaobu"""	pattern {  }	pattern {  }
⋯⋯ ，还有 ，⋯⋯	"Expressing ""in addition"" with ""haiyou"""	pattern {  }	pattern {  }
⋯⋯ ，另外 ，⋯⋯	"Expressing ""in addition"" with ""lingwai"""	pattern {  }	pattern {  }
另外 + [Verb Phrase]	"Expressing ""in addition"" with ""lingwai"""	pattern {  }	pattern {  }
⋯⋯ ，再说 ，⋯⋯	"Expressing ""in addition"" with ""zaishuo"""	pattern {  }	pattern {  }
Situation ，那么 + Suggestion / Decision	"Expressing ""then…"" with ""name"""	pattern {  }	pattern {  }
通过 / 用 + Method + 来 + [Verb Phrase]	"Using ""lai"" to connect two verb phrases"	pattern {  }	pattern {  }
Subj + MW + MW + Predicate	Reduplication of measure words	pattern {  }	pattern {  }
Event + 之前 / 之后 ，⋯⋯	"Expressing ""before"" and ""after"" with ""zhiqian"" and ""zhihou"""	pattern {  }	pattern {  }
⋯⋯ ，之前 / 之后 ⋯⋯	"Expressing ""before"" and ""after"" with ""zhiqian"" and ""zhihou"""	pattern {  }	pattern {  }
Time / Event + 以来 ，⋯⋯	"Expressing ""ever since"" with ""yilai"""	pattern {  }	pattern {  }
Time Period + 来 ，⋯⋯	"Expressing ""ever since"" with ""yilai"""	pattern {  }	pattern {  }
Time + 时 ，Subj. ⋯⋯	"Expressing ""when"" with ""shi"""	pattern {  }	pattern {  }
[Past Event 1] ，后来 ，[Past Event 2]	"Sequencing past events with ""houlai"""	pattern {  }	pattern {  }
Denominator + 分之 + Numerator	"Expressing fractions with ""fenzhi"""	pattern {  }	pattern {  }
A + 是 / 占 + B + 的 + Denominator + 分之 + Numerator	"Expressing fractions with ""fenzhi"""	pattern {  }	pattern {  }
Number + 多 + [Measure word] (+ Noun)	Indicating a number in excess	pattern {  }	pattern {  }
Statement + 吗 ？	"Advanced yes-no questions with ""ma"""	pattern {  }	pattern {  }
Confirmation + Question + 吗 ？	"Advanced yes-no questions with ""ma"""	pattern {  }	pattern {  }
Verb + 着	"Aspect particle ""zhe"""	pattern {  }	pattern {  }
Verb 1 + 着 + Verb 2	"Aspect particle ""zhe"""	pattern {  }	pattern {  }
Subj. + 是 + Verb + 着 + 玩 + 的	"Aspect particle ""zhe"""	pattern {  }	pattern {  }
Statement + 嘛	"Expressing the self-evident with ""ma"""	pattern {  }	pattern {  }
Option 1 + 吧 ，⋯⋯ ；Option 2 + 吧 ，⋯⋯	"Reviewing options with ""ba"""	pattern {  }	pattern {  }
Statement + 的	"Using ""de"" (modal particle)"	pattern {  }	pattern {  }
关于 + Obj. ，⋯⋯	"Expressing ""about"" with ""guanyu"""	pattern {  }	pattern {  }
关于 ⋯⋯ 的 + Noun	"Expressing ""about"" with ""guanyu"""	pattern {  }	pattern {  }
直到 + Time / Event ，Subj. + 才 ⋯⋯	"Expressing ""all the way until"" with ""zhidao"""	pattern {  }	pattern {  }
直到 + Time / Event ，Subj. + 都  + 不 / 没 ⋯⋯	"Expressing ""all the way until"" with ""zhidao"""	pattern {  }	pattern {  }
Subj. + 给 + Recipient + [Verb Phrase]	"Expressing ""for"" with ""gei"""	pattern {  }	pattern {  }
为 + Party + Verb / Adj.	"Expressing ""for"" with ""wei"""	pattern {  }	pattern {  }
Subj. + 不到 + Number + [Measure Word] + Noun	"Expressing ""less than"" with ""budao"""	pattern {  }	pattern {  }
Subj. + 不到 + Time + 就 + Predicate + 了	"Expressing ""less than"" with ""budao"""	pattern {  }	pattern {  }
向 + Direction / Person + Verb	"Expressing ""towards"" with ""xiang"""	pattern {  }	pattern {  }
往 + Direction / Place + Verb	"Expressing ""toward"" with ""wang"""	pattern {  }	pattern {  }
Verb + 往 + Direction / Place	"Expressing ""toward"" with ""wang"""	pattern {  }	pattern {  }
在 + Topic + 上 ，Subj. ⋯⋯	"Idiomatic phrases with ""zai"""	pattern {  }	pattern {  }
在 ⋯⋯ 下 ，⋯⋯	"Idiomatic phrases with ""zai"""	pattern {  }	pattern {  }
在 + Topic + 方面 ，Subj. ⋯⋯	"Idiomatic phrases with ""zai"""	pattern {  }	pattern {  }
Subj. + 对 + Person + Verb	"Using ""dui"" with verbs"	pattern {  }	pattern {  }
对 + Person + 来说 ，⋯⋯	"Using ""dui"" with verbs"	pattern {  }	pattern {  }
Subj. + 看起来 + Adj.	"Appearance with ""kanqilai"""	pattern {  }	pattern {  }
Subj. + 看起来 + 像 + Noun Phrase	"Appearance with ""kanqilai"""	pattern {  }	pattern {  }
Subj. + [Causative Verb] + Person + Predicate	Causative verbs	pattern {  }	pattern {  }
这 / 那 + 要看 / 得看 + [Unclear Situation]	"Expressing ""it depends"" with ""kan"""	pattern {  }	pattern {  }
[Unknown Outcome] + 要看 / 得看 + [Unclear Situation]	"Expressing ""it depends"" with ""kan"""	pattern {  }	pattern {  }
Subj. + 好像 ⋯⋯	"Expressing ""it seems"" with ""haoxiang"""	pattern {  }	pattern {  }
Subj. + 以为 ⋯⋯	"Expressing ""mistakenly think that"" with ""yiwei"""	pattern {  }	pattern {  }
经过 + Event / Time ，⋯⋯	"Expressing ""through"" with ""jingguo"""	pattern {  }	pattern {  }
通过 + Agent / Method ，Subj. ⋯⋯	"Expressing ""through"" with ""tongguo"""	pattern {  }	pattern {  }
Subj. + 来自 + Place	"Expressing ""to come from"" with ""laizi"""	pattern {  }	pattern {  }
Subj. (+ 不) + 算 + Noun	"Making judgments with ""suan"""	pattern {  }	pattern {  }
Subj. + 算 + Adj. + 的	"Making judgments with ""suan"""	pattern {  }	pattern {  }
Subj. + 不 + 算 + Adj.	"Making judgments with ""suan"""	pattern {  }	pattern {  }
Subj. + 不用 + [Verb Phrase]	"Expressing ""don't need to"" with ""buyong"""	pattern {  }	pattern {  }
Subj. + 得 + [Verb Phrase]	"Expressing ""must"" with ""dei"""	pattern {  }	pattern {  }
少 + Verb	"Doing something less with ""shao"""	pattern {  }	pattern {  }
多 + Verb	"Doing something more with ""duo"""	pattern {  }	pattern {  }
Subj. + 正在 / 正 / 在 + Verb + 呢	Expressing actions in progress (full form)	pattern {  }	pattern {  }
Subj. (+ 正) + Verb + 着 + Obj. + 呢	Expressing actions in progress (full form)	pattern {  }	pattern {  }
Subj. + Verb + Obj. + 呢	Expressing actions in progress (full form)	pattern {  }	pattern {  }
Subj. + 不怎么 + Verb	"Expressing ""not often"" with ""bu zenme"""	pattern {  }	pattern {  }
Verb (+ 一直) + 到 + Time / Event	"Expressing ""until"" with ""dao"""	pattern {  }	pattern {  }
[Verb Phrase] (+ 一直) + Verb + 到 + Time / Event	"Expressing ""until"" with ""dao"""	pattern {  }	pattern {  }
Verb + Number + Measure Word	Measure words for verbs	pattern {  }	pattern {  }
Verb + Object	Separable verb	pattern {  }	pattern {  }
Verb... [Other Stuff]... Object	Separable verb	pattern {  }	pattern {  }
跟 + Person + Verb + Object	Separable verb	pattern {  }	pattern {  }
Verb + 了 / 过 / 着 + Object	Separable verb	pattern {  }	pattern {  }
Verb + [Measure Word Phrase] + Object	Separable verb	pattern {  }	pattern {  }
Verb + Verb + Object	Separable verb	pattern {  }	pattern {  }
Subj. + Verb + 给 + Recipient + Obj.	"Verbs followed by ""gei"""	pattern {  }	pattern {  }
Obj. + Subj. + Verb + 给 + Recipient	"Verbs followed by ""gei"""	pattern {  }	pattern {  }
Subj. + 给 + Target + [Verb Phrase]	"Verbs preceded by ""gei"""	pattern {  }	pattern {  }
Verb + 得 + [Degree Complement]	Degree complement	pattern {  }	pattern {  }
Verb + [Compound Direction Complement]	Direction complement	pattern {  }	pattern {  }
Verb + Object + Complement	Direction complement	pattern {  }	pattern {  }
Subj. + 把 + Obj. + Verb + [Direction Complement]	Direction complement	pattern {  }	pattern {  }
Verb + 起来	"Direction complement ""-qilai"""	pattern {  }	pattern {  }
Verb / Adj. + 起来 +了	"Direction complement ""-qilai"""	pattern {  }	pattern {  }
Subj. + Verb + 起来 + Adv. + Adj.	"Direction complement ""-qilai"""	pattern {  }	pattern {  }
Subj. + Verb + 不 + Complement	Potential complement	pattern {  }	pattern {  }
Subj. + Verb + Adj. + 了 (+ Obj.)	Result complements	pattern {  }	pattern {  }
Subj. + 没 + Verb + Adj. (+ Obj.)	Result complements	pattern {  }	pattern {  }
Subj. + Verb + [One-syllable Verb] +了 (+ Obj.)	Result complements	pattern {  }	pattern {  }
Subj. + Verb + 下去	"Result complement ""-xiaqu"""	pattern {  }	pattern {  }
Subj. + Verb + 不 + 下去 (+ 了)	"Result complement ""-xiaqu"""	pattern {  }	pattern {  }
所有 (+ 的) + Noun	"Expressing ""all"" with ""suoyou"""	pattern {  }	pattern {  }
所有 (+ 的) + Noun + 都 + Predicate	"Expressing ""all"" with ""suoyou"""	pattern {  }	pattern {  }
不是 + 所有 (+ 的) + Noun + 都 + Predicate	"Expressing ""all"" with ""suoyou"""	pattern {  }	pattern {  }
Subj. + 是 + [Noun Phrase] + 之一	"Expressing ""one of"" with ""zhiyi"""	pattern {  }	pattern {  }
[Noun Phrase] + 之一 + 是 ⋯⋯	"Expressing ""one of"" with ""zhiyi"""	pattern {  }	pattern {  }
另外 + Number + [Measure Word] + Noun	"Expressing ""the other"" with ""lingwai"""	pattern {  }	pattern {  }
Person + 是 + 来 / 去 + Verb+ 的	"The ""shi... de"" construction for indicating purpose"	pattern {  }	pattern {  }
Thing + 是 + 用来 + Verb + 的	"The ""shi... de"" construction for indicating purpose"	pattern {  }	pattern {  }
Thing + 是 + 给 + Person + Verb + 的	"The ""shi... de"" construction for indicating purpose"	pattern {  }	pattern {  }
Subj. + 是 + [Distinguishing Words] + 的	"The ""shi... de"" patterns: an overview"	pattern {  }	pattern {  }
Person + 是 + 来 / 去 + Verb + 的	"The ""shi... de"" patterns: an overview"	pattern {  }	pattern {  }
Thing + 是 + 用来 + Verb + 的	"The ""shi... de"" patterns: an overview"	pattern {  }	pattern {  }
Topic ，Comment	Topic-comment sentences	pattern {  }	pattern {  }
Subj. + [Verb Phrase] + Obj.	"Using ""ba"" sentences"	pattern {  }	pattern {  }
Subj. + 把 + Obj. + [Verb Phrase]	"Using ""ba"" sentences"	pattern {  }	pattern {  }
Place + Verb + 着 + [Noun Phrase]	Alternative existential sentences	pattern {  }	pattern {  }
Place + 是 + [Noun Phrase]	Alternative existential sentences	pattern {  }	pattern {  }
想 + Verb + 就 + Verb	"Expressing ""as one likes"" with ""jiu"""	pattern {  }	pattern {  }
想 + Verb + [Question Word] + 就 + Verb + [Question Word]	"Expressing ""as one likes"" with ""jiu"""	pattern {  }	pattern {  }
Subj. + 不是 + 不 / 没 + Predicate	"Expressing ""double negation"""	pattern {  }	pattern {  }
Subj. + 不 + 会 / 能 / 可能 + 不 / 没 + Predicate	"Expressing ""double negation"""	pattern {  }	pattern {  }
(Topic +) 没有 + [Singular Noun] + 不 / 没 + Predicate + 的	"Expressing ""double negation"""	pattern {  }	pattern {  }
连 + Subj. + 都 (+ 不 / 没) + Verb	"Expressing ""even"" with ""lian"" and ""dou"""	pattern {  }	pattern {  }
连 + Obj. + 都 (+ 不 / 没) + Verb	"Expressing ""even"" with ""lian"" and ""dou"""	pattern {  }	pattern {  }
每次 + Event 1 + 都 + Event 2	"Expressing ""every time"" with ""mei"" and ""dou"""	pattern {  }	pattern {  }
谁 + 都 + Predicate	"Expressing ""every"" with question words"	pattern {  }	pattern {  }
哪儿 / 哪里 (+ Verb) + 都 + Predicate	"Expressing ""every"" with question words"	pattern {  }	pattern {  }
什么时候 (+ Verb) + 都 + Predicate	"Expressing ""every"" with question words"	pattern {  }	pattern {  }
Verb + 多少 + 都 + Predicate	"Expressing ""every"" with question words"	pattern {  }	pattern {  }
怎么 + Verb + 都 + Predicate	"Expressing ""every"" with question words"	pattern {  }	pattern {  }
Subj. + 多长时间 + Verb + 一次 (+ Obj.)	"Expressing ""how often"""	pattern {  }	pattern {  }
Subj. + [Length of Time]  + Verb + Times (+ Obj.)	"Expressing ""how often"""	pattern {  }	pattern {  }
Subj. + 越来越 + Adj. + 了	"Expressing ""more and more"" with ""yuelaiyue"""	pattern {  }	pattern {  }
Subj. + 越来越 + Verb + 了	"Expressing ""more and more"" with ""yuelaiyue"""	pattern {  }	pattern {  }
A + 是 + B + 的 + Number + 倍	"Expressing ""multiples"" with ""bei"""	pattern {  }	pattern {  }
Subj. + 一点(儿) + 也 / 都 + 不 + Adj.	"Expressing ""not at all"" with ""yidianr ye bu"""	pattern {  }	pattern {  }
Subj. + 一点 + 也 / 都 + 不 + [Verb Phrase]	"Expressing ""not at all"" with ""yidianr ye bu"""	pattern {  }	pattern {  }
Subj. + 不知道 + [Verb Phrase] + 好	"Expressing not knowing how to do something using ""hao"""	pattern {  }	pattern {  }
为了 ⋯⋯ ，Subj. ⋯⋯	"Expressing purpose with ""weile"""	pattern {  }	pattern {  }
⋯⋯ 是 + 为了 / 因为 ⋯⋯	"Expressing purpose with ""weile"""	pattern {  }	pattern {  }
对 + Person + 来说 ，⋯⋯	"Phrases using ""laishuo"""	pattern {  }	pattern {  }
A + 有 + B + Adj. + 吗 ？	"Expressing comparable degree with ""you"""	pattern {  }	pattern {  }
A + 有 + B + Verb + 得 + Adj. + 吗 ？	"Expressing comparable degree with ""you"""	pattern {  }	pattern {  }
A + 有 (+ B) + 这么 / 那么 + Adj. + 吗 ？	"Expressing comparable degree with ""you"""	pattern {  }	pattern {  }
跟 + A + 比 (起来) ，B⋯⋯	"Expressing ""compared with"" using ""gen"""	pattern {  }	pattern {  }
B + 跟 + A + 比 (起来) ，⋯⋯	"Expressing ""compared with"" using ""gen"""	pattern {  }	pattern {  }
跟 + Time + 比 (起来) ，⋯⋯	"Expressing ""compared with"" using ""gen"""	pattern {  }	pattern {  }
Subj. + Adj. + 多了	"Expressing ""much more"" in comparisons"	pattern {  }	pattern {  }
Adj. + 是 + Adj. ， 但是 / 就是 ⋯⋯	"Conceding a point with ""shi"""	pattern {  }	pattern {  }
一 + Event 1，就 + Event 2	"Events in quick succession with ""yi... jiu..."""	pattern {  }	pattern {  }
一 + Reason，就 + Result	"Events in quick succession with ""yi... jiu..."""	pattern {  }	pattern {  }
虽然 ⋯⋯ ，但是 / 可是 ⋯⋯	"Expressing ""although"" with ""suiran"" and ""danshi"""	pattern {  }	pattern {  }
要么 + Option A ，要么 + Option B	"Expressing ""either... or..."" with ""yaome"""	pattern {  }	pattern {  }
除了 ⋯⋯ (+ 以外) ，Subj. + 都 ⋯⋯	"Expressing ""except"" and ""in addition"" with ""chule… yiwai"""	pattern {  }	pattern {  }
除了 ⋯⋯ (+ 以外) ，Subj. + 也 / 还 ⋯⋯	"Expressing ""except"" and ""in addition"" with ""chule… yiwai"""	pattern {  }	pattern {  }
还好 + [Lucky Incident] ，不然 + [Bad Outcome]	"Expressing good luck with ""haihao"""	pattern {  }	pattern {  }
如果 ⋯⋯ ，就 ⋯⋯	"Expressing ""if... then..."" with ""ruguo... jiu..."""	pattern {  }	pattern {  }
如果 ⋯⋯ ，那么 / 那 ⋯⋯	"Expressing ""if... then..."" with ""ruguo... jiu..."""	pattern {  }	pattern {  }
如果 ⋯⋯ 的话 ，(就) ⋯⋯	"Expressing ""if"" with ""ruguo... dehua"""	pattern {  }	pattern {  }
⋯⋯ (的话) ，就 ⋯⋯	"Expressing ""if"" with ""ruguo... dehua"""	pattern {  }	pattern {  }
Subj. + 不但 ⋯⋯ ，而且 ⋯⋯	"Expressing ""not only... but also"" with ""budan... erqie..."""	pattern {  }	pattern {  }
不但 + Subj. 1 ⋯⋯ ，而且 + Subj. 2 + 也 ⋯⋯	"Expressing ""not only... but also"" with ""budan... erqie..."""	pattern {  }	pattern {  }
Reason ，怪不得 / 难怪 + [Observation]	"Expressing ""no wonder"""	pattern {  }	pattern {  }
怪不得 / 难怪 + [Observation] ，原来 (+ 是) + Reason	"Expressing ""no wonder"""	pattern {  }	pattern {  }
一 方面 ⋯⋯ ， (另) 一 方面 ⋯⋯	"Expressing various aspects with ""yi fangmian"""	pattern {  }	pattern {  }
等(到) + Time / Event ，Subj. + 再 / 就 + Predicate	"Expressing ""when"" with ""dengdao"""	pattern {  }	pattern {  }
等(到) + Time / Event ，Subj. + 才 + Predicate	"Expressing ""when"" with ""dengdao"""	pattern {  }	pattern {  }
或者 A ，或者 B	"Providing two options with double ""huozhe"""	pattern {  }	pattern {  }
Verb + 起来	"Advanced uses of direction complement ""-qilai"""	pattern {  }	pattern {  }
Adj. + 得不得了	"Adjectival complement ""de budeliao"""	pattern {  }	pattern {  }
Adj. + 得很	"Adjectival complement ""de hen"""	pattern {  }	pattern {  }
Adj. + 了（一）点儿	"Expressing ""a bit too"""	pattern {  }	pattern {  }
Subj. + 有的是 + Noun	"Saying ""a lot"" with ""youdeshi"""	pattern {  }	pattern {  }
Noun + Subj. + 有的是 。	"Saying ""a lot"" with ""youdeshi"""	pattern {  }	pattern {  }
Subj. + 都 + Predicate	"Advanced uses of ""dou"""	pattern {  }	pattern {  }
Verb + 都 + Verb 了，...	"Advanced uses of ""dou"""	pattern {  }	pattern {  }
都 + 怨 / 是 / 怪 + Somebody	"Advanced uses of ""dou"""	pattern {  }	pattern {  }
Subj. + 还 + Predicate (+ 呢)	"Advanced uses of ""hai"""	pattern {  }	pattern {  }
Subj. + 还 + Noun Phrase (+ 呢)	"Advanced uses of ""hai"""	pattern {  }	pattern {  }
Subj. + 还 + [Verb Phrase] + 吗 ?	"Advanced uses of ""hai"""	pattern {  }	pattern {  }
总 + 会 / 得 / 要 / 能 + Verb Phrase (+ 吧)	"Advanced uses of ""zong"""	pattern {  }	pattern {  }
总 + 不 / 没 + Verb	"Advanced uses of ""zong"""	pattern {  }	pattern {  }
看来 + Perspective	"Assessing situations with ""kanlai"""	pattern {  }	pattern {  }
在 + Person + 看来 + Perspective	"Assessing situations with ""kanlai"""	pattern {  }	pattern {  }
⋯⋯ ，(Subj. +) 只好 + [Verb Phrase]	"Declaring the only option with ""zhihao"""	pattern {  }	pattern {  }
可 + Adj. + 了	"Emphatic adverb ""ke"""	pattern {  }	pattern {  }
可 + Verb Phrase	"Emphatic adverb ""ke"""	pattern {  }	pattern {  }
可 + Verb Phrase + 了	"Emphatic adverb ""ke"""	pattern {  }	pattern {  }
毕竟 ⋯⋯	"Expressing ""after all"" with ""bijing"""	pattern {  }	pattern {  }
虽然 ⋯⋯ ，但 + 毕竟 ⋯⋯ ，(as a result) ⋯⋯	"Expressing ""after all"" with ""bijing"""	pattern {  }	pattern {  }
(Subj. +) 再不 …… 就 ……（了）	"Expressing a last chance with ""zaibu... jiu..."""	pattern {  }	pattern {  }
Subj. + 差点 + 没 + Verb Phrase	"Expressing ""almost"" using ""chadian mei"""	pattern {  }	pattern {  }
Subj. + 差点 (+ 没) + Verb Phrase	"Expressing ""almost"" using ""chadian mei"""	pattern {  }	pattern {  }
[Disregarded Situation] ， 反正 ⋯⋯	"Expressing ""anyway"" with ""fanzheng"""	pattern {  }	pattern {  }
反正 + Reason ，Decision / Suggestion	"Expressing ""anyway"" with ""fanzheng"""	pattern {  }	pattern {  }
Decision / Suggestion ，反正 + Reason	"Expressing ""anyway"" with ""fanzheng"""	pattern {  }	pattern {  }
尽量 + Verb / Adj.	"Expressing ""as much as possible"" with ""jinliang"""	pattern {  }	pattern {  }
(Reason,) 恐怕 + Subj. ⋯⋯	"Expressing concern with ""kongpa"""	pattern {  }	pattern {  }
Subj. + 好 (不) 容易 + 才 + [Result]	"Expressing difficulty with ""hao (bu) rongyi"""	pattern {  }	pattern {  }
Verb / [Verb Phrase] + 好容易 / 好不容易	"Expressing difficulty with ""hao (bu) rongyi"""	pattern {  }	pattern {  }
[Noun or Group of Nouns] + 甚至 + [Emphasized Noun] + 都 / 也 ⋯⋯	"Expressing ""even"" with ""shenzhi"""	pattern {  }	pattern {  }
⋯⋯，甚至 + (连) ⋯⋯ + 都 / 也	"Expressing ""even"" with ""shenzhi"""	pattern {  }	pattern {  }
尽管 + Verb	"Expressing ""feel free"" with ""jinguan"""	pattern {  }	pattern {  }
Subj. + 不得不 + Verb	"Expressing ""have to"" with ""budebu"""	pattern {  }	pattern {  }
到底 ⋯⋯ ，Reason / Characteristic	"Expressing ""in the end"" with ""daodi"""	pattern {  }	pattern {  }
到底 + Question Word	"Expressing ""in the end"" with ""daodi"""	pattern {  }	pattern {  }
到底 + Verb ＋ 不 / 没 ＋ Verb	"Expressing ""in the end"" with ""daodi"""	pattern {  }	pattern {  }
到底 ＋ Verb ＋ 了	"Expressing ""in the end"" with ""daodi"""	pattern {  }	pattern {  }
究竟 + Question Word	"Expressing ""in the end"" with ""jiujing"""	pattern {  }	pattern {  }
究竟 ＋ Verb ＋ 没 / 不 ＋ Verb	"Expressing ""in the end"" with ""jiujing"""	pattern {  }	pattern {  }
Fact ＋ 究竟 + 是 ＋ Fact，……	"Expressing ""in the end"" with ""jiujing"""	pattern {  }	pattern {  }
Subj. + 干脆 + Verb Phrase	"Expressing ""just"" do it with ""gancui"""	pattern {  }	pattern {  }
几乎 + Noun Phrase + 都 ……	"Expressing ""nearly"" with ""jihu"""	pattern {  }	pattern {  }
几乎 + 没有 + Noun Phrase ……	"Expressing ""nearly"" with ""jihu"""	pattern {  }	pattern {  }
Subj. + 几乎 + [不 / 没 +] Predicate	"Expressing ""nearly"" with ""jihu"""	pattern {  }	pattern {  }
Subj. + 再也 + 不 (+ Auxiliary Verb) + Verb Phrase + 了	"Expressing ""never again"" with ""zai ye bu"""	pattern {  }	pattern {  }
Subj. + 再也 + 没 + Verb + 过 + Obj.	"Expressing ""never again"" with ""zai ye bu"""	pattern {  }	pattern {  }
Subj. + 曾经 + Verb + 过 (+ Obj.)	"Expressing ""once"" with ""cengjing"""	pattern {  }	pattern {  }
曾经 + 是 / 在 / 有 ⋯⋯	"Expressing ""once"" with ""cengjing"""	pattern {  }	pattern {  }
不曾 / 未曾 + Verb + 过 + Obj.	"Expressing ""once"" with ""cengjing"""	pattern {  }	pattern {  }
Subj. + 本来 + 是 +（不）[要 / 会 / 应该] + Verb + 的，[但是 / 可是 / 不过]...	"Expressing ""originally"" with ""benlai"""	pattern {  }	pattern {  }
Subj. + 本来 + 就...	"Expressing ""originally"" with ""benlai"""	pattern {  }	pattern {  }
Subj. + 本来 + 就 + 很 / 不 + Adj.	"Expressing ""originally"" with ""benlai"""	pattern {  }	pattern {  }
Subj. + 本来 + 就 + 会 / 要 / 得 / 应该 + Verb	"Expressing ""originally"" with ""benlai"""	pattern {  }	pattern {  }
再三 + Verb Phrase	"Expressing ""over and over again"" with ""zaisan"""	pattern {  }	pattern {  }
